generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
21,2200,127,5046,1076.77,1008.25,-14.1063,-1.97926,-9.54525,-7.50261,-5.71592,-6.19806,-6.63961,-9.5455,-3.53168,-11.1323,-0.552459,-3.01884,-4.31008,-4.24766,-1.58402,-4.90969,-6.52431,-7.92331,-6.2366,-7.14145,-7.58152,-25.3307
22,2300,111,2864,752.667,760.732,-14.3277,-2.16315,-9.49275,-7.53962,-5.7549,-6.05973,-6.70053,-9.41108,-3.74798,-11.1136,-0.813416,-3.06035,-4.16455,-4.14308,-1.58196,-5.02856,-6.74442,-7.57346,-6.29369,-7.08357,-7.54007,-25.3176
23,2400,110,5539,1235.7,1196.93,-14.3283,-1.98809,-9.40357,-7.61779,-5.73613,-5.99493,-6.74378,-9.2166,-3.7806,-11.0013,-0.787029,-3.06526,-4.18442,-4.23085,-1.53723,-5.10452,-6.85318,-7.66858,-6.35015,-7.07506,-7.50222,-25.8012
24,2500,134,1445,613.267,351.966,-14.2248,-2.01014,-9.42485,-7.94269,-5.69401,-6.04088,-6.61829,-9.10046,-3.88934,-10.7689,-0.705925,-3.11914,-4.15538,-4.15128,-1.53239,-5.08215,-6.80622,-7.73512,-6.30885,-7.06356,-7.5209,-25.9005
25,2600,152,3600,950.367,742.029,-14.3992,-2.18896,-9.43162,-7.97308,-5.69744,-6.14692,-6.70791,-8.94222,-3.81409,-11.0165,-0.723231,-3.14397,-4.13142,-4.13383,-1.52146,-5.10945,-6.52462,-7.77116,-6.17999,-7.03715,-7.53166,-25.9094
26,2700,67,2889,1046.43,851.75,-14.4144,-2.25714,-9.4973,-8.00118,-5.64686,-6.08196,-6.72938,-8.89652,-3.92265,-10.9683,-0.742105,-3.13503,-4.13135,-4.07798,-1.55577,-5.13429,-6.6925,-7.59665,-6.15708,-7.07883,-7.51476,-25.9492
27,2800,129,3730,1071.57,923.937,-14.537,-2.17789,-9.45542,-8.07573,-5.64093,-6.10181,-6.70513,-9.36594,-3.92228,-11.0518,-0.785471,-3.2281,-4.11706,-4.05467,-1.56308,-5.16991,-6.6868,-7.46678,-6.1798,-7.10441,-7.48958,-25.8883
28,2900,130,4574,1223.5,1035.81,-14.5419,-2.15076,-9.42159,-8.08204,-5.63449,-6.11046,-6.71176,-9.35286,-3.87687,-11.0736,-0.738482,-3.27839,-4.10115,-4.10927,-1.55751,-5.12217,-6.5924,-7.457,-6.13067,-7.04223,-7.51812,-25.8935
29,3000,109,3035,872.1,712.856,-14.5804,-2.15314,-9.43028,-8.05447,-5.64607,-6.09744,-6.68171,-9.27481,-3.82213,-11.0739,-0.749181,-3.30072,-4.1339,-4.12713,-1.55851,-5.21493,-6.5545,-7.39457,-6.11137,-7.07996,-7.49925,-26.015
30,3100,159,2597,733.233,484.249,-14.5436,-2.19763,-9.44669,-8.06563,-5.6674,-6.06719,-6.6864,-9.38516,-3.81012,-11.0412,-0.815199,-3.34802,-4.11558,-4.15425,-1.55439,-5.22195,-6.62323,-7.35124,-6.07218,-7.07756,-7.49425,-26.0566
31,3200,158,3474,1131.9,951.598,-14.6236,-2.24401,-9.45721,-8.0873,-5.66354,-6.05905,-6.67246,-9.86379,-3.82647,-10.9994,-0.783777,-3.25528,-4.12991,-4.15671,-1.54362,-5.1575,-6.52378,-7.4174,-6.09011,-7.10501,-7.48872,-26.004
32,3300,113,3770,1069.97,940.504,-14.579,-2.21419,-9.45942,-8.09525,-5.64971,-6.03698,-6.66084,-10.4586,-3.86216,-10.9869,-0.849157,-3.40858,-4.11899,-4.17126,-1.60749,-5.18062,-6.55793,-7.54355,-6.14056,-7.1121,-7.47664,-25.9476
33,3400,130,4403,1048.9,1019.68,-14.5894,-2.21367,-9.44919,-8.06959,-5.64552,-5.95682,-6.65498,-10.0208,-3.81689,-11.0106,-0.885229,-3.35243,-4.09841,-4.14319,-1.62495,-5.18612,-6.50778,-7.44584,-6.18682,-7.0823,-7.48169,-25.9092
34,3500,217,2776,1085.83,710.329,-14.5849,-2.23409,-9.43876,-8.11091,-5.64153,-5.92481,-6.64366,-10.2903,-3.77856,-11.0345,-0.873691,-3.35415,-4.09188,-4.16714,-1.65752,-5.16155,-6.49107,-7.42227,-6.21637,-7.09714,-7.48329,-25.8761
35,3600,86,3204,1015.47,732.233,-14.5387,-2.24443,-9.43903,-8.12343,-5.63976,-5.99217,-6.65305,-10.5334,-3.77837,-11.0509,-0.886062,-3.34022,-4.10743,-4.15547,-1.67797,-5.10518,-6.45485,-7.50246,-6.18245,-7.09779,-7.47537,-25.8901
